Country,juror_A,juror_B,juror_C,juror_D,juror_E,act,night,city,year
Russia,3,7,10,11,9,france,first-semi-final,stockholm,2016
SanMarino,12,16,17,15,18,france,first-semi-final,stockholm,2016
Armenia,3,2,2,2,5,greece,first-semi-final,stockholm,2016
Austria,15,3,13,5,11,greece,first-semi-final,stockholm,2016
Azerbaijan,6,8,7,7,8,greece,first-semi-final,stockholm,2016
BosniaHerzegovina,13,12,17,16,12,greece,first-semi-final,stockholm,2016
Croatia,16,16,6,17,10,greece,first-semi-final,stockholm,2016
Cyprus,4,4,5,1,2,greece,first-semi-final,stockholm,2016
Czechia,10,13,15,8,4,greece,first-semi-final,stockholm,2016
Estonia,11,10,4,12,15,greece,first-semi-final,stockholm,2016
Finland,17,17,12,14,16,greece,first-semi-final,stockholm,2016
Hungary,5,9,11,4,3,greece,first-semi-final,stockholm,2016
Iceland,12,11,16,11,14,greece,first-semi-final,stockholm,2016
Malta,8,5,9,9,7,greece,first-semi-final,stockholm,2016
Moldova,9,7,10,10,9,greece,first-semi-final,stockholm,2016
Montenegro,7,6,8,6,6,greece,first-semi-final,stockholm,2016
Netherlands,2,15,3,15,13,greece,first-semi-final,stockholm,2016
Russia,1,1,1,3,1,greece,first-semi-final,stockholm,2016
SanMarino,14,14,14,13,17,greece,first-semi-final,stockholm,2016
Armenia,9,12,8,2,3,hungary,first-semi-final,stockholm,2016
Austria,15,9,15,13,5,hungary,first-semi-final,stockholm,2016
Azerbaijan,1,3,1,6,11,hungary,first-semi-final,stockholm,2016
BosniaHerzegovina,11,15,16,11,9,hungary,first-semi-final,stockholm,2016
Croatia,8,11,5,9,6,hungary,first-semi-final,stockholm,2016
Cyprus,6,13,10,7,14,hungary,first-semi-final,stockholm,2016
Czechia,4,1,3,5,7,hungary,first-semi-final,stockholm,2016
Estonia,10,4,11,15,12,hungary,first-semi-final,stockholm,2016
Finland,12,2,9,8,4,hungary,first-semi-final,stockholm,2016
Greece,13,6,12,16,13,hungary,first-semi-final,stockholm,2016
Iceland,3,14,14,10,10,hungary,first-semi-final,stockholm,2016
Malta,2,10,2,1,1,hungary,first-semi-final,stockholm,2016
Moldova,16,7,6,12,16,hungary,first-semi-final,stockholm,2016
Montenegro,14,16,13,14,15,hungary,first-semi-final,stockholm,2016
Netherlands,7,8,7,4,8,hungary,first-semi-final,stockholm,2016
Russia,5,5,4,3,2,hungary,first-semi-final,stockholm,2016
SanMarino,17,17,17,17,17,hungary,first-semi-final,stockholm,2016
Armenia,5,7,12,7,7,iceland,first-semi-final,stockholm,2016
Austria,8,10,11,2,8,iceland,first-semi-final,stockholm,2016
Azerbaijan,14,5,6,10,11,iceland,first-semi-final,stockholm,2016
BosniaHerzegovina,17,17,17,15,15,iceland,first-semi-final,stockholm,2016
Croatia,10,8,2,1,5,iceland,first-semi-final,stockholm,2016
Cyprus,9,9,8,12,13,iceland,first-semi-final,stockholm,2016
Czechia,4,3,9,4,4,iceland,first-semi-final,stockholm,2016
Estonia,11,13,4,13,17,iceland,first-semi-final,stockholm,2016
Finland,6,15,13,16,10,iceland,first-semi-final,stockholm,2016
Greece,7,16,16,8,12,iceland,first-semi-final,stockholm,2016
Hungary,3,12,7,11,16,iceland,first-semi-final,stockholm,2016
Malta,13,4,5,6,9,iceland,first-semi-final,stockholm,2016
Moldova,12,11,15,9,6,iceland,first-semi-final,stockholm,2016
Montenegro,16,14,3,17,14,iceland,first-semi-final,stockholm,2016
Netherlands,2,2,1,3,1,iceland,first-semi-final,stockholm,2016
Russia,1,1,10,5,2,iceland,first-semi-final,stockholm,2016
SanMarino,15,6,14,14,3,iceland,first-semi-final,stockholm,2016
Armenia,1,1,1,2,2,malta,first-semi-final,stockholm,2016
Austria,10,11,17,7,7,malta,first-semi-final,stockholm,2016
Azerbaijan,12,15,6,16,14,malta,first-semi-final,stockholm,2016
BosniaHerzegovina,17,4,16,11,17,malta,first-semi-final,stockholm,2016
Croatia,14,17,9,14,15,malta,first-semi-final,stockholm,2016
Cyprus,2,14,2,3,8,malta,first-semi-final,stockholm,2016
Czechia,11,6,11,6,12,malta,first-semi-final,stockholm,2016
Estonia,8,16,10,9,6,malta,first-semi-final,stockholm,2016
Finland,9,8,7,4,11,malta,first-semi-final,stockholm,2016
Greece,16,7,8,17,5,malta,first-semi-final,stockholm,2016
Hungary,13,9,13,10,13,malta,first-semi-final,stockholm,2016
Iceland,15,10,15,15,3,malta,first-semi-final,stockholm,2016
Moldova,6,13,5,8,10,malta,first-semi-final,stockholm,2016
Montenegro,5,5,4,12,4,malta,first-semi-final,stockholm,2016
Netherlands,4,12,14,13,16,malta,first-semi-final,stockholm,2016
Russia,3,2,3,1,1,malta,first-semi-final,stockholm,2016
SanMarino,7,3,12,5,9,malta,first-semi-final,stockholm,2016
Armenia,2,4,9,1,3,moldova,first-semi-final,stockholm,2016
Austria,7,15,11,14,12,moldova,first-semi-final,stockholm,2016
Azerbaijan,6,12,16,11,13,moldova,first-semi-final,stockholm,2016
